Page,Titre,Prix,URL,Marque,Etat du véhicule,Année,Puissance fiscale,Boite,Type de carrosserie,Couleur du véhicule,Carburant,Cylindrée,Modèle,Kilométrage
4,mg 3 boîte automatique,45900DT,https://www.tayara.tn/item/68dfe245e7035d31a40e7716/Voitures/Sousse/Sousse_Jawhara/mg_3_bote_automatique_/,MG,Nouveau,2023,7,Automatique,Compacte,Noir,Essence,1.5L,3,60000
4,M G 3  issence,36500DT,https://www.tayara.tn/item/68dfe1416c505afdc05d68fc/Voitures/Sousse/Sousse/M_G_3_issence_/,MG,Avec kilométrage,2021,5,Manuelle,Compacte,Blanc,Essence,1.5L,3,115500
5,Peugeot 208,36800DT,https://www.tayara.tn/item/68dfe139e7035d31a40e7625/Voitures/Sousse/Sousse_Jawhara/Peugeot_208/,Peugeot,Nouveau,2023,5,Manuelle,Compacte,Gris,Essence,1.2L,208,80000
5,Cherry qq,23000DT,https://www.tayara.tn/item/68dfe1026c505afdc05d68c8/Voitures/Tunis/Menzah/Cherry_qq/,Chery,Avec kilométrage,2019,4,Manuelle,Compacte,Bleu,Essence,1.2L,QQ,100000
5,4x4 Volkswagen Tiguan 4motion finition Highline 2009 essence,36000DT,https://www.tayara.tn/item/68dfe0b4e7035d31a40e75a0/Voitures/Tunis/Carthage/4x4_Volkswagen_Tiguan_4motion_finition_Highline_2009_essence/,Volkswagen,Avec kilométrage,2009,9,Manuelle,4 x 4,Gris,Essence,1.4L,Golf,310
5,Mercedes benz c180,57DT,https://www.tayara.tn/item/68dfe0446c505afdc05d6825/Voitures/Sousse/Sousse_Sidi_Abdelhamid/Mercedes_benz_c180/,Mercedes-Benz,Nouveau,2012,6,Manuelle,Autres,Noir,Diesel,1.6L,Classe C,260
5,Occasion d'or,N/A,https://www.tayara.tn/item/68dfdffc6c505afdc05d67eb/Voitures/Sidi_Bouzid/Sidi_Bouzid/Occasion_dor/,Peugeot,Avec kilométrage,1985,4,Manuelle,Berline,Beige,Essence,1.2L,104,111
5,KIA CERATO KOUP TOUTE OPTIONS IMPORTEE TEL 22801802,36000DT,https://www.tayara.tn/item/68dfdf3f6c505afdc05d6756/Voitures/Ariana/Ennasr/KIA_CERATO_KOUP_TOUTE_OPTIONS_IMPORTEE_TEL_22801802/,Kia,Avec kilométrage,2012,7,Automatique,Berline,Rouge,Essence,1.6L,Cerato,145000
5,Sangyoug Tivoli 1ere main,55000DT,https://www.tayara.tn/item/68dfdf19e7035d31a40e7467/Voitures/Tunis/Lac_2/Sangyoug_Tivoli_1ere_main/,Ssangyong,Avec kilométrage,2018,7,Manuelle,Autres,Gris,Essence,1.6L,Tivoli,71500
5,Peugeot 208 ( particulier),N/A,https://www.tayara.tn/item/68d93ffa39ab67d416d93118/Voitures/Ariana/Ennasr/Peugeot_208_particulier/,Peugeot,Nouveau,2024,5,Manuelle,Compacte,Noir,Essence,1.2L,208,17000
5,clio 4 année 2021,35800DT,https://www.tayara.tn/item/68dfdea8e7035d31a40e7408/Voitures/Ariana/Ariana/clio_4_anne_2021/,Renault,Avec kilométrage,2021,5,Manuelle,Berline,Noir,Essence,<1.0L,Clio,137000
5,Une très belle voiture Peugeot 308,22000DT,https://www.tayara.tn/item/68dfde44e7035d31a40e73c5/Voitures/Bja/Bja_Sud/Une_trs_belle_voiture_Peugeot_308/,Peugeot,Nouveau,2009,,Manuelle,Autres,Bleu,Essence,1.6L,308,
5,Kia Sportage,82000DT,https://www.tayara.tn/item/68dfdd476c505afdc05d65d5/Voitures/Mahdia/Chebba/Kia_Sportage_/,Kia,Avec kilométrage,2017,8,Automatique,Autres,Marron,Essence,1.6L,Sportage,102.000
5,polo 5 tt opp,17800DT,https://www.tayara.tn/item/68dfdcce6c505afdc05d6565/Voitures/Bizerte/Bizerte_Sud/polo_5_tt_opp/,Volkswagen,Avec kilométrage,2003,04,Manuelle,Compacte,Bleu,Essence,1.2L,Polo,235
5,GOLF 7 LOUNGE TDI BLUEMOTION,N/A,https://www.tayara.tn/item/68dfdc02e7035d31a40e71ff/Voitures/Sousse/Hammam_Sousse/GOLF_7_LOUNGE_TDI_BLUEMOTION/,Volkswagen,Nouveau,2016,5,Manuelle,Berline,Blanc,Diesel,1.6L,Golf,146000
5,dokker impeccable,N/A,https://www.tayara.tn/item/68dfdbf0e7035d31a40e71ef/Voitures/La_Manouba/La_Manouba/dokker_impeccable_/,Dacia,Avec kilométrage,2021,5,Manuelle,Utilitaire,Noir,Diesel,1.5L,Dokker,157
5,KIA RIO COUPER OU ECHANGE,N/A,https://www.tayara.tn/item/68dfdaf66c505afdc05d63ec/Voitures/Sousse/Khzema/KIA_RIO_COUPER_OU_ECHANGE_/,Kia,Nouveau,2020,5,Manuelle,Berline,Noir,Essence,1.4L,Rio,115000
5,Mitsubishi Mirage Rouge,31000DT,https://www.tayara.tn/item/68dfda4de7035d31a40e70ac/Voitures/Tunis/El_Menzah_9/Mitsubishi_Mirage_Rouge/,Mitsubishi,Avec kilométrage,2018,4,Manuelle,Compacte,Rouge,Essence,<1.0L,,71000
5,MG BVA LUXURY,47500DT,https://www.tayara.tn/item/68dfda1c6c505afdc05d631d/Voitures/Sousse/Sousse_Jawhara/MG_BVA_LUXURY_/,MG,Avec kilométrage,2024,5,Manuelle,Compacte,Noir,Essence,1.5L,ZS,59000
5,Jeep Compass 4xE 80th Anniversary Edition Hybrid (Limited Edition),130900DT,https://www.tayara.tn/item/68d3378a07c7711d7c74397e/Voitures/Sousse/Sahloul/Jeep_Compass_4xE_80th_Anniversary_Edition_Hybrid_Limited_Edition/,Jeep,Avec kilométrage,2022,7,Automatique,4 x 4,Gris,Essence,,Compass,124000
5,Renault Express série 250,19000DT,https://www.tayara.tn/item/68dfd67de7035d31a40e6d28/Voitures/Tunis/Tunis/Renault_Express_srie_250/,,Avec kilométrage,2025,6,Manuelle,Autres,Noir,Hybride Diesel,,,19000
5,Citroën C4,N/A,https://www.tayara.tn/item/68dfd6326c505afdc05d5f75/Voitures/Zaghouan/Autres_Villes/Citron_C4_/,Citroen,Avec kilométrage,2009,6,Manuelle,Compacte,Bleu,Essence,1.4L,C4,260
5,A vendre : 🚘 JEEP RENEGADE BVM 🚘,65000DT,https://www.tayara.tn/item/67f79ef0fd1c6385be4a1b55/Voitures/Tunis/Le_Bardo/A_vendre_JEEP_RENEGADE_BVM_/,Jeep,Nouveau,2020,8,Manuelle,Compacte,Noir,Essence,1.4L,,190
5,Golf 6 1.4,N/A,https://www.tayara.tn/item/68dfd58c6c505afdc05d5edd/Voitures/Sfax/Sfax/Golf_6_14/,Volkswagen,Avec kilométrage,2011,5,Manuelle,Autres,Gris,Essence,1.4L,Golf 6,240
5,Volvo XC40 Black Edition – Hybride léger,N/A,https://www.tayara.tn/item/6818be77c5beda2b51d8a009/Voitures/Tunis/Lac_1/Volvo_XC40_Black_Edition_Hybride_lger/,Volvo,Nouveau,2024,9,Automatique,,Noir,Hybride,,,1000
5,A vendre kia Picanto boîte automatique tte option :GSM:20178333,N/A,https://www.tayara.tn/item/68dfd4ef6c505afdc05d5e63/Voitures/Monastir/Monastir/A_vendre_kia_Picanto_bote_automatique_tte_option_GSM20178333/,Kia,Avec kilométrage,2016,5,Automatique,Berline,Beige,Essence,1.2L,Picanto,176
5,Dmax 4*4 importé,116DT,https://www.tayara.tn/item/68dfd49ee7035d31a40e6b6f/Voitures/Bja/Nefza/Dmax_44_import/,Isuzu,Nouveau,2025,7,Manuelle,4 x 4,Noir,Diesel,2.5L,D-MAX,1000
5,HAVAL 6 BON ETAT 2EME Main,72500DT,https://www.tayara.tn/item/68bbead7c4782c5427acaf0d/Voitures/Tunis/El_Menzah_9/HAVAL_6_BON_ETAT_2EME_Main/,Haval,Avec kilométrage,2019,9,Automatique,4 x 4,Noir,Essence,1.5L,H6,170
5,206 sedan,12000DT,https://www.tayara.tn/item/68dfd2836c505afdc05d5c46/Voitures/Kairouan/Haffouz/206_sedan/,Peugeot,Avec kilométrage,2007,6,Manuelle,Berline,Beige,Essence,1.4L,206,239000
5,AuDi A1 S-Line Dans L'emballage Fin D'série,N/A,https://www.tayara.tn/item/68dfd230e7035d31a40e697b/Voitures/Tunis/Tunis/AuDi_A1_SLine_Dans_Lemballage_Fin_Dsrie_/,Audi,Nouveau,2025,6,Automatique,Compacte,Bleu,Essence,<1.0L,A1,5500
5,À vendre polo7. très bon état. Jamais accidentée.. Tel: 28232341,29000DT,https://www.tayara.tn/item/68dfd1b7e7035d31a40e6917/Voitures/Ariana/Ennasr/_vendre_polo7_trs_bon_tat_Jamais_accidente_Tel_28232341_/,Volkswagen,Avec kilométrage,2010,4,Manuelle,Compacte,Bleu,Essence,1.2L,Polo,168000
5,C4 Cactus en bonne état,35000DT,https://www.tayara.tn/item/68dfd0ac6c505afdc05d5a94/Voitures/Ben_Arous/Ben_Arous/C4_Cactus_en_bonne_tat_/,Citroen,Avec kilométrage,2018,5,Manuelle,Autres,Blanc,Essence,1.2L,C4 Cactus,200000
6,C4 Cactus en bonne état,35000DT,https://www.tayara.tn/item/68dfd0ac6c505afdc05d5a94/Voitures/Ben_Arous/Ben_Arous/C4_Cactus_en_bonne_tat_/,Citroen,Avec kilométrage,2018,5,Manuelle,Autres,Blanc,Essence,1.2L,C4 Cactus,200000
6,PEUGEOT 208 TOUTE OPTION,N/A,https://www.tayara.tn/item/68dfcec1e7035d31a40e663a/Voitures/Sousse/Sousse/PEUGEOT_208_TOUTE_OPTION/,Peugeot,Nouveau,2022,5,Manuelle,Berline,Gris,Essence,1.2L,208,
6,MG zs version Trophy,N/A,https://www.tayara.tn/item/68dfcddee7035d31a40e658f/Voitures/Ben_Arous/Hammam_Lif/MG_zs_version_Trophy_/,Haval,Avec kilométrage,2022,9,Automatique,Autres,Gris,Essence,1.3L,jolion,87
6,V W T-ROC IMPORTER D ALLEMAGNE 5000 KM,N/A,https://www.tayara.tn/item/68dfcd17e7035d31a40e64f9/Voitures/Sousse/Sousse/V_W_TROC_IMPORTER_D_ALLEMAGNE_5000_KM/,Volkswagen,Nouveau,2022,,Manuelle,4 x 4,Noir,Essence,,T-ROC,5000
6,BMW 318 i  ( F30 ),78000DT,https://www.tayara.tn/item/68dfc8dbe7035d31a40e6116/Voitures/Tunis/Centre_Urbain_Nord/_BMW_318_i_F30_/,BMW,Avec kilométrage,2018,07,Automatique,Berline,Noir,Essence,1.5L,Serie 3,135000
6,Vente voiture,20DT,https://www.tayara.tn/item/68dfc88c6c505afdc05d530a/Voitures/Sfax/Kerkennah/Vente_voiture_/,Peugeot,Avec kilométrage,2008,,Manuelle,,Gris,Essence,,308,
6,Peugeot 208,28500DT,https://www.tayara.tn/item/68dfc7736c505afdc05d51fd/Voitures/Ariana/La_Soukra/Peugeot_208/,Peugeot,Avec kilométrage,2020,5,Manuelle,Compacte,Noir,Essence,1.2L,208,133000
6,Partner K9 Importée 60.000km,N/A,https://www.tayara.tn/item/68bed6cd985e647fd0ea728e/Voitures/Ariana/Ariana/Partner_K9_Importe_60000km/,Peugeot,Nouveau,2022,5,Manuelle,Utilitaire,Blanc,Diesel,1.5L,Partner,60000
6,A vendre renault clio,N/A,https://www.tayara.tn/item/68dfc62ce7035d31a40e5ee5/Voitures/Bizerte/Bizerte_Nord/A_vendre_renault_clio_/,Renault,,2021,5,Manuelle,,Noir,Essence,<1.0L,Clio,103000
6,Kia rio,38DT,https://www.tayara.tn/item/68dfc5496c505afdc05d505a/Voitures/Sfax/Route_de_laroport/Kia_rio/,Kia,Nouveau,2017,5,Manuelle,Autres,Blanc,Essence,1.2L,Rio,185000
6,grande punto 1 ére main,24500DT,https://www.tayara.tn/item/68dfc4eae7035d31a40e5db6/Voitures/Ariana/Ennasr/grande_punto_1_re_main/,Fiat,Avec kilométrage,2012,5,Manuelle,Compacte,Noir,Essence,1.2L,Grande Punto,140
6,ford fiesta titanium,N/A,https://www.tayara.tn/item/68dfc4b26c505afdc05d4fd4/Voitures/Tunis/L_Aouina/ford_fiesta_titanium/,Ford,Nouveau,2017,5,Manuelle,Compacte,Noir,Essence,1.2L,Fiesta,90000
6,peugoet 301 allure toute options,24500DT,https://www.tayara.tn/item/68dfc4456c505afdc05d4f55/Voitures/Sousse/Sahloul/peugoet_301_allure_toute_options/,Peugeot,Avec kilométrage,2015,5,Manuelle,Berline,Blanc,Essence,1.2L,301,149500
6,voiture,N/A,https://www.tayara.tn/item/68dfc325e7035d31a40e5c1c/Voitures/Sidi_Bouzid/Sidi_Bouzid_Ouest/voiture/,,,,,,,Autre,,,,1
6,K9 belingo 2022. 3 places 📱 98111827,48800DT,https://www.tayara.tn/item/68dfc2d6e7035d31a40e5bce/Voitures/Ben_Arous/Ezzahra/K9_belingo_2022_3_places_98111827/,Citroen,Avec kilométrage,2022,5,Manuelle,Berline,Blanc,Diesel,1.6L,Berlingo,100.000
6,polo 7 sedan,48500DT,https://www.tayara.tn/item/6830a7d8cf58eeced2441d3a/Voitures/Ariana/Ariana/polo_7_sedan_/,Volkswagen,Avec kilométrage,2022,5,Manuelle,Berline,Gris,Essence,1.4L,Polo,110000
6,Volkswagen Tiguan TU236,55111110DT,https://www.tayara.tn/item/6887b74e62d21a2c2e3bc65e/Voitures/Ariana/Ariana/Volkswagen_Tiguan_TU236/,Volkswagen,Avec kilométrage,20238,8,Automatique,Berline,Gris,Essence,1.4L,Tiguan,23000
6,haval h6 BVA,55111110DT,https://www.tayara.tn/item/68486c788bda81f7f5d9b3b4/Voitures/Ariana/Ariana/haval_h6_BVA/,Haval,Nouveau,2022,8,Automatique,4 x 4,Gris,Essence,1.5L,H6,58000
6,BMW G30 520I pack Individuel,55111110DT,https://www.tayara.tn/item/68d3a42a516f1ddb82e1d05e/Voitures/Ariana/Ariana/BMW_G30_520I_pack_Individuel_/,BMW,Avec kilométrage,2019,10,Automatique,Berline,Blanc,Essence,2.0L,Serie 5,200000
6,Jeep Renegade BVA,55111110DT,https://www.tayara.tn/item/68d6e71522ad3bf835feb60a/Voitures/Ariana/Ariana/Jeep_Renegade_BVA/,Jeep,Avec kilométrage,2017,8,Automatique,4 x 4,Blanc,Essence,1.4L,Kaisser,130000
6,a vendre,42DT,https://www.tayara.tn/item/68dfc10ee7035d31a40e59ee/Voitures/Tunis/Cit_Olympique/a_vendre_/,Mercedes-Benz,Nouveau,2013,6,Automatique,Compacte,Noir,Essence,1.8L,Classe A,200
6,Renlault clio,35800DT,https://www.tayara.tn/item/68dfbfc56c505afdc05d4b29/Voitures/Sousse/Khzema/Renlault_clio_/,Renault,Avec kilométrage,20222,5,,Berline,Gris,Essence,1.2L,Clio,115000
6,MG3 très propre,36500DT,https://www.tayara.tn/item/68dfbf71e7035d31a40e58b0/Voitures/Sousse/Sahloul/MG3_trs_propre_/,MG,Avec kilométrage,2021,6,Manuelle,Berline,Rouge,Essence,1.5L,3,105000
6,Toyota yaris 2021,N/A,https://www.tayara.tn/item/68dfa32ce7035d31a40e3e04/Voitures/Sousse/Kala_Sghira/Toyota_yaris_2021/,Toyota,Avec kilométrage,2021,,Manuelle,,Noir,Essence,,Yaris,145000
6,A200 52mkm seulement certifié Pach night kit amg +full option Importé récemment full option,N/A,https://www.tayara.tn/item/68dfbe3d6c505afdc05d4a1b/Voitures/Tunis/El_Menzah_9/A200_52mkm_seulement_certifi_Pach_night_kit_amg_full_option_Import_rcemment_full_option_/,Mercedes-Benz,Avec kilométrage,2020,8,Automatique,Compacte,Gris,Essence,1.3L,Classe A,52000
6,C4,22000DT,https://www.tayara.tn/item/68dfbddf6c505afdc05d49c5/Voitures/Sfax/Sfax/C4_/,Citroen,Avec kilométrage,2008,6,Automatique,Berline,Noir,Essence,1.4L,C4,300
6,Seat Arona,72500DT,https://www.tayara.tn/item/6894c2d7fde7ee723b46de5f/Voitures/Ben_Arous/Boumhel/Seat_Arona/,Seat,Nouveau,2023,6,Automatique,Compacte,Bleu,Essence,<1.0L,Arosa,102000
6,c 15,12345DT,https://www.tayara.tn/item/68dfbc096c505afdc05d48b7/Voitures/Mahdia/Chorbane/c_15/,,,1230,6,Manuelle,,,,,,213165
6,C3 en bon etat 3morha 5ans w chahrin,42DT,https://www.tayara.tn/item/68dfba2ae7035d31a40e54f1/Voitures/Bizerte/Bizerte_Sud/C3_en_bon_etat_3morha_5ans_w_chahrin_/,Citroen,Avec kilométrage,2020,5,Manuelle,Compacte,Jaune,Diesel,1.6L,C3,440000
6,Très belle voiture contacter 22870193,38000DT,https://www.tayara.tn/item/68dfb9bde7035d31a40e548a/Voitures/Tunis/Gammarth/Trs_belle_voiture_contacter_22870193/,Chery,Nouveau,2019,7,Manuelle,Utilitaire,Blanc,Essence,1.5L,,87000
7,🚘Bmw Serie 420i Gran-coupé  ///M PERFORMANCE LIMITED EDITION Nèuf 🚘,N/A,https://www.tayara.tn/item/68dfb8fae7035d31a40e53e4/Voitures/Ariana/Ariana_Essoughra/Bmw_Serie_420i_Grancoup_M_PERFORMANCE_LIMITED_EDITION_Nuf_/,BMW,Avec kilométrage,2016,10,Automatique,Autres,Gris,Essence,2.0L,Serie 5,121000
7,Super 5 à vendre,5000DT,https://www.tayara.tn/item/68dfb8926c505afdc05d4600/Voitures/Ben_Arous/Fouchana/Super_5_vendre_/,Renault,Avec kilométrage,,,Manuelle,Autres,Bleu,Essence,,Super 5,
7,Fiat 500c cabriolet,29500DT,https://www.tayara.tn/item/68dfb877e7035d31a40e5387/Voitures/Tunis/Ain_Zaghouen/Fiat_500c_cabriolet_/,Fiat,Avec kilométrage,2011,4,Manuelle,Compacte,Blanc,Essence,1.1L,500C,176000
7,Une belle Hyundai I20 toute option état neuf,48000DT,https://www.tayara.tn/item/68dfb6ef6c505afdc05d44b0/Voitures/Tunis/Tunis/Une_belle_Hyundai_I20_toute_option_tat_neuf/,Hyundai,Avec kilométrage,2021,5,Manuelle,Autres,Blanc,Essence,1.2L,I 20,103400
